Plant,Location,Aphids,Pod_num_start,Pod_num_end,Pod_loss,Aphid_num_end,Height_start,Leaf_num_start,MeanSeedsPerPod,Total_seeds
1,SCI,Y,10,9,1,1000,123,24,250.1111111,2251
2,SCI,N,2,2,0,0,114,23,221.5,443
3,SCI,N,4,3,1,0,94,18,217,217
4,SCI,N,2,2,0,100,88,16,183,366
5,SCI,Y,4,4,0,0,87,19,194,776
6,SCI,N,14,11,3,1000,143,42,223.2857143,3126
7,SCI,N,4,3,1,200,89,26,102.3333333,307
8,SCI,N,3,3,0,200,90,22,199,597
9,SCI,N,5,2,3,1,85,43,152.5,610
10,SCI,Y,3,3,0,120,80,22,97.66666667,293
11,SCI,Y,8,6,2,100,94,25,115,690
12,SCI,N,5,5,0,150,116,23,222,1110
13,SCI,Y,6,4,2,150,115,23,223.25,893
14,SCI,N,3,3,0,75,112,26,218.3333333,655
15,SCI,N,3,3,0,65,89,23,202.6666667,608
16,SCI,N,5,5,0,150,110,22,205.8,1029
17,SCI,Y,4,3,1,150,100,23,220,660
18,SCI,Y,2,1,1,10,93,19,190,190
19,SCI,Y,8,9,-1,10,127,24,268.22,2414
20,SCI,N,16,7,9,100,142,28,248.4285714,1739
21,SCI,Y,9,12,-3,500,90,23,239.5833333,2875
22,SCI,N,7,6,1,50,130,30,233.4,1167
23,SCI,Y,6,2,4,0,115,33,132.5,265
24,SCI,Y,1,1,0,15,140,33,246,246
25,SCI,Y,5,5,0,0,100,22,235.2,1176
26,SCI,Y,3,3,0,0,124,28,221,663
27,SCI,N,3,2,1,0,98,26,143,286
28,SCI,Y,4,4,0,0,115,26,199.25,797
29,SCI,Y,4,4,0,0,115,27,217.5,870
30,SCI,N,4,5,-1,0,92,22,207.4,1037
31,WNC,Y,11,7,4,0,113,32,240,1680
32,WNC,Y,4,1,3,0,78,18,244,244
33,WNC,N,3,2,1,0,103,23,232,464
34,WNC,N,5,3,2,0,99,18,220.3333333,661
35,WNC,Y,9,5,4,0,98,20,255.8,1279
36,WNC,N,4,2,2,0,101,18,211,422
37,WNC,N,3,2,1,0,99,22,233,466
38,WNC,N,5,4,1,0,99,21,236.25,945
39,WNC,N,5,4,1,0,87,18,224.75,899
40,WNC,Y,8,2,6,0,103,20,257.5,515
41,WNC,N,3,3,0,0,97,22,225.3333333,676
42,WNC,N,7,5,2,0,110,22,236.8,1184
43,WNC,N,5,3,2,0,96,20,220.6666667,662
44,WNC,N,6,3,3,0,95,21,243,729
45,WNC,Y,7,4,3,0,103,23,204.5,818
46,WNC,Y,7,1,6,0,88,20,169,169
47,WNC,N,6,4,2,0,92,22,214.5,858
48,WNC,N,4,3,1,0,82,20,222.3333333,667
49,WNC,N,3,3,0,0,90,21,177.6666667,533
50,WNC,N,6,4,2,0,89,21,219,876
51,WNC,Y,5,3,2,500,88,24,257,771
52,WNC,Y,4,4,0,0,87,20,253.5,1014
53,WNC,Y,6,4,2,0,118,20,230.75,923
54,WNC,Y,4,3,1,110,84,17,154,462
55,WNC,Y,4,2,2,0,73,18,221,442
56,WNC,Y,6,1,5,0,78,15,247,247
57,WNC,Y,7,3,4,57,92,18,216,648
58,WNC,N,3,2,1,0,88,15,240.5,481
59,WNC,Y,9,4,5,26,117,25,315.5,1262
60,WNC,Y,11,5,6,500,110,28,215.4,1077
