Plant,Pod,Total_seedmass_g
1,1,1.785
1,2,0.964
1,3,1.587
1,4,1.22
1,5,1.43
1,6,1.459
1,7,1.356
1,8,0.959
1,9,1.431
2,1,1.528
2,2,1.446
3,1,1.232
4,1,1.152
4,2,1.397
5,1,1.088
5,2,1.086
5,3,1.125
5,4,1.239
6,1,1.287
6,2,1.252
6,3,1.252
6,4,1.441
6,5,1.282
6,6,1.45
6,7,1.206
6,8,1.362
6,9,1.378
6,10,1.419
6,11,1.361
6,12,1.278
6,13,1.214
6,14,1.318
7,1,0.897
7,2,0.82
7,3,0.621
8,1,1.42
8,2,1.066
8,3,1.102
9,1,0.453
9,2,0.988
9,3,1.062
9,4,1.308
10,1,0.733
10,2,0.549
10,3,0.616
11,1,0.716
11,2,0.952
11,3,0.931
11,4,0.842
11,5,0.676
11,6,1.092
12,1,1.269
12,2,1.349
12,3,1.461
12,4,1.329
12,5,1.293
13,1,1.402
13,2,1.344
13,3,0.828
13,4,1.467
14,1,1.283
14,2,1.463
14,3,1.329
15,1,1.479
15,2,1.491
15,3,1.439
16,1,1.296
16,2,1.337
16,3,1.428
16,4,0.673
16,5,1.343
17,1,1.43
17,2,1.425
17,3,1.544
18,1,1.23
19,1,0.963
19,2,0.942
19,3,1.044
19,4,1.164
19,5,1.186
19,6,1.252
19,7,1.085
19,8,1.085
19,9,1.085
20,1,0.676
20,2,0.999
20,3,1.263
20,4,0.862
20,5,1.182
20,6,0.816
20,7,1.203
21,1,1.104
21,2,1.253
21,3,1.189
21,4,1.147
21,5,1.006
21,6,0.173
21,7,0.138
21,8,0.138
21,9,0.79
21,10,0.085
21,11,0.128
21,12,1.078
22,1,1.247
22,2,1.303
22,3,1.384
22,4,0.109
22,5,1.231
23,1,0.055
23,2,0.471
24,1,1.955
25,1,1.113
25,2,1.118
25,3,1.211
25,4,0.964
25,5,0.973
26,1,1.35
26,2,1.324
26,3,1.099
27,1,0.067
27,2,1.636
28,1,0.792
28,2,1.004
28,3,0.998
28,4,0.93
29,1,1.017
29,2,0.606
29,3,1.078
29,4,0.897
30,1,0.815
30,2,1.033
30,3,1.26
30,4,0.425
30,5,0.713
31,1,1.608
31,2,1.453
31,3,1.587
31,4,1.567
31,5,1.401
31,6,1.537
31,7,1.009
32,1,1.874
33,1,1.688
33,2,1.735
34,1,1.744
34,2,1.429
34,3,1.143
35,1,1.452
35,2,1.542
35,3,1.657
35,4,1.274
35,5,1.328
36,1,1.334
36,2,1.563
37,1,1.898
37,2,1.597
38,1,1.404
38,2,1.796
38,3,1.656
38,4,1.437
39,1,1.593
39,2,1.648
39,3,1.177
39,4,1.462
40,1,1.687
40,2,1.732
41,1,1.6
41,2,1.649
41,3,1.53
42,1,0.513
42,2,1.289
42,3,1.583
42,4,1.613
42,5,1.595
43,1,0.79
43,2,1.751
43,3,1.609
44,1,1.864
44,2,1.952
44,3,1.08
45,1,1.074
45,2,1.197
45,3,1.527
45,4,1.094
46,1,0.762
47,1,1.255
47,2,0.922
47,3,1.499
47,4,1.535
48,1,1.315
48,2,1.102
48,3,1.067
49,1,1.226
49,2,0.807
49,3,0.93
50,1,0.701
50,2,1.47
50,3,1.503
50,4,1.677
51,1,1.443
51,2,1.366
51,3,1.581
52,1,1.423
52,2,1.668
52,3,1.232
52,4,1.19
53,1,1.582
53,2,1.524
53,3,1.408
53,4,1.312
54,1,1.265
54,2,1.069
54,3,0.581
55,1,1.065
55,2,0.554
56,1,0.716
57,1,0.78
57,2,0.672
57,3,0.703
58,1,0.621
58,2,1.413
59,1,1.731
59,2,1.5
59,3,1.491
59,4,1.584
60,1,1.088
60,2,1.391
60,3,1.499
60,4,1.319
60,5,1.277
